aaj2132,19,16,86,,85
ab3140,4,52,23,,95
ag3188,16,92,39,,90
al3047,28,36,62,,80
as3429,48,38,12,,0
as4194,51,42,59,,100
bar2150,45,61,36,,98
bc2490,7,40,31,,102
bt2336,55,15,83,,85
cg2672,14,87,60,,95
cj2366,22,1,74,,100
cl3001,30,77,10,,100
cz2225,65,26,13,,70
df2446,10,35,86,,90
dk2648,26,58,28,,75
ed2525,9,98,3,,100
fv2164,57,63,4,,104
gc2513,6,77,84,,95
hgv2103,58,45,69,,102
hm2528,35,35,34,,80
hy2326,61,82,15,,100
ib2298,3,36,8,,95
jam2291,33,87,77,,70
jc3800,5,55,2,,100
jf2732,11,36,84,,95
jg3229,15,72,88,,97
jhk2160,23,20,91,,100
jk3304,24,11,36,,90
jp3168,41,100,70,,80
js4020,49,95,46,,90
jt2670,56,67,54,,70
jy2435,64,3,88,,60
jzf2101,13,52,84,,105
kds2135,52,68,64,,90
lar2190,46,35,6,,80
mls2199,54,27,58,,85
mnf2113,12,90,45,,90
mo2501,37,15,3,,80
nj2252,20,67,4,,80
nl2392,31,52,69,,90
pck2115,25,60,47,,80
pda2111,1,84,20,,88
ph2375,18,60,78,,90
pr2390,44,73,93,,85
qw2128,59,100,17,,95
rh2528,69,10,86,,
rp2578,39,29,68,,100
rr2795,43,1,62,,50
rxl2102,27,6,51,,85
sc3365,8,99,80,,100
sh3082,17,83,92,,70
sp3038,40,85,14,,80
sz2349,67,52,37,,90
tbp2108,38,49,54,,106
ts2709,50,82,83,,85
tx2122,60,59,66,,90
vgp2102,42,85,3,,70
vm2341,34,42,61,,75
vs2419,47,75,81,,85
xb2118,2,80,69,,75
xs2148,53,73,14,,60
xz2275,66,74,31,,80
yc2626,68,77,36,,
yj2253,21,37,19,,75
yl2809,32,15,79,,70
yn2230,36,60,8,,100
zl2282,29,93,36,,55
zy2159,62,96,33,,50
zy2160,63,57,40,,90
